pdb,subtype,y_true,y_pred_ridge19,y_pred_gpr,y_pred_stacked
1arj,viral_tar,3.0,6.5100561747735,6.5100561747735,6.595411285721323
407d,duplex_groove,6.4634,6.364125629364871,6.364125629364871,6.349812804166026
408d,duplex_groove,7.3188,6.3895844599967155,6.3895844599967155,6.382620359857712
1qms,other_misc,9.0,6.405117589701046,6.405117589701046,5.612675459218516
1byj,ribosomal_asite,5.699,5.4088726301322145,5.4088726301322145,5.5798929238644535
1db6,other_misc,4.0,5.483386795937006,5.483386795937006,5.6567642961324
1cvy,duplex_groove,6.4202,6.613486739811512,6.613486739811512,6.710427230918057
454d,duplex_groove,8.0,7.735942783854925,7.735942783854925,7.372765284933636
1cvx,duplex_groove,4.9586,6.3968495590406125,6.3968495590406125,6.3740202444823275
1f27,aptamer,6.0,7.409190683380304,7.409190683380304,7.197699827860229
1f1t,aptamer,7.3979,6.430489030135171,6.430489030135171,6.36390500947231
1qd3,other_misc,5.2291,5.848536902240095,5.848536902240095,5.94061256876837
1fyp,ribosomal_asite,5.6021,5.935033528570127,5.935033528570127,5.962831152773527
1i9v,ribosomal_asite,3.466,5.141543471776151,5.141543471776151,5.367330897896913
1nzm,g_quadruplex,6.4815,6.7527491906701504,6.7527491906701504,6.606676572841271
1p96,duplex_groove,5.5952,5.654173292414838,5.654173292414838,5.7382941655361055
1qv8,duplex_groove,6.9431,6.652854042973565,6.652854042973565,6.557179019230009
1qv4,duplex_groove,6.9066,6.707630698948954,6.707630698948954,6.660766537114339
1r4e,duplex_groove,5.2733,5.326749907035015,5.326749907035015,5.509279217014052
1q8n,aptamer,6.0969,6.716126010636711,6.716126010636711,6.579759363709539
1uts,viral_tar,7.4089,4.863057524234199,4.863057524234199,5.1304479833744505
1uud,viral_tar,5.8125,5.39798538603105,5.39798538603105,5.605335460055681
1yrj,other_misc,6.699,5.078025712299319,5.078025712299319,5.338303198825226
2bee,ribosomal_asite,7.0,6.626475921750538,6.626475921750538,6.487342049077796
2be0,ribosomal_asite,6.8861,6.660128994512444,6.660128994512444,6.504072934372916
1ykv,other_misc,5.0,4.932134447368438,4.932134447368438,5.304038093758454
2g5k,ribosomal_asite,6.301,6.1505906230262255,6.1505906230262255,6.284099552437379
2b57,riboswitch,7.7696,5.604787741253472,5.450054468772645,5.540660863713961
2f4s,ribosomal_asite,4.7212,5.184814090518566,5.184814090518566,5.390007356576601
2f4t,ribosomal_asite,5.6576,5.24107405466625,5.24107405466625,5.5525485895286675
2g9c,other_misc,5.699,4.987485616200025,4.987485616200025,5.265299544786733
2f4u,ribosomal_asite,5.2291,5.181437672960841,5.181437672960841,5.410806005584572
2au4,aptamer,7.1249,6.466595755186836,6.466595755186836,6.316077966738859
2o3w,ribosomal_asite,5.585,4.987990915715376,4.987990915715376,5.154242433421184
2o3x,ribosomal_asite,4.301,4.9039913269934585,4.9039913269934585,5.223953753722848
3e5c,riboswitch,9.2441,5.912413115699398,6.256558101686137,6.285966786406184
3fo4,riboswitch,6.1427,5.353450517821048,5.203741862417816,5.333221637851005
3ger,riboswitch,6.0506,5.523982407393046,5.583811390824519,5.692775326508954
2kgp,riboswitch,6.0,6.100223658890854,5.872277743975544,5.928753906344608
3fu2,riboswitch,7.699,5.844300544055464,7.083473155195789,7.09808079891441
3ges,riboswitch,4.699,6.033953748946697,4.86580000688532,4.970260302892298
3fo6,riboswitch,4.6383,6.023799371603747,4.886143957217631,4.992397495592174
3gog,riboswitch,4.6198,6.03098053297914,5.943916250335513,6.013643098451516
2kdq,viral_tar,7.5229,5.214107405015127,5.214107405015127,5.518971391042713
3ds7,other_misc,4.4089,5.905863843074225,5.905863843074225,5.956093213424556
3gao,riboswitch,4.4089,6.063489787703318,5.75882685013958,5.83393795557174
3g4m,riboswitch,5.3565,5.738885135730229,5.92920693788427,6.0187639153344685
3got,riboswitch,5.3979,5.765497057976277,5.209648908282253,5.315522395340999
3jq4,other_misc,5.0,5.980706730777435,5.980706730777435,6.0519908204643205
3mum,riboswitch,9.6778,7.162206109980453,9.19514290834718,8.993545731571075
3mxh,riboswitch,10.9586,7.294155503594681,8.367098572825991,8.118096070751065
3mur,riboswitch,7.8239,7.503999383694063,10.320377358088823,10.512849055566168
3la5,riboswitch,6.0,5.678977916983,5.958536461091727,6.0462474621619196
2ku0,other_misc,5.585,4.923871270127362,4.923871270127362,5.1340718207213465
3owz,riboswitch,5.4559,4.769716413927026,4.953224004198582,5.138954292212803
3npn,riboswitch,7.4949,5.964578387583593,6.296377015370171,6.33819181884845
2kx8,other_misc,5.2,5.399271602270647,5.399271602270647,5.0687162781759705
2ktz,other_misc,5.0458,4.85312763758457,4.85312763758457,5.178015505962356
2ygh,riboswitch,6.5086,6.0796920456278505,5.870511820851596,5.924913283920832
2ydh,riboswitch,5.71,6.130083311806597,6.735625781225551,6.774532484551592
2xo1,aptamer,4.0,4.169470381348646,4.169470381348646,4.62425955374168
2xnz,aptamer,3.9586,3.8565111613686858,3.8565111613686858,4.40580088850276
3sd3,riboswitch,4.7447,5.924832241719488,4.58171316553258,4.696557894083676
3q50,riboswitch,8.6882,6.026276275243218,7.107027926802527,7.083666247969484
3q3z,riboswitch,8.6576,6.965162262638239,6.34661763491737,6.2631115207212495
2l94,other_misc,3.4437,5.705764706557622,5.705764706557622,5.855077982106388
2xnw,aptamer,3.4318,3.3673792361833774,3.3673792361833774,4.055456973279157
3slm,other_misc,3.4214,5.149333395231818,5.149333395231818,5.475702091061113
2xo0,aptamer,4.0969,4.212133930803258,4.212133930803258,4.647030374419371
3s4p,other_misc,6.0,6.082068194057946,6.082068194057946,6.126462518646749
4aob,riboswitch,6.3098,5.879243244233252,5.981473780810294,6.050074465398457
4fe5,riboswitch,6.1355,5.896551376921591,7.050993411213448,7.1114940240744
2loa,g_quadruplex,5.6576,6.96382222557024,6.96382222557024,6.7416348022815695
4erj,riboswitch,2.5086,5.401032929290106,3.8144240059447796,4.067984160255392
2lwk,other_misc,4.2967,5.274533543040941,5.274533543040941,5.434837899748033
4erl,riboswitch,3.2441,5.753089757607787,3.854341517793486,4.0557912409163785
2mb3,other_misc,5.1308,5.901747759135004,5.901747759135004,6.029200886605025
2rsk,other_misc,5.0,6.606964932294007,6.606964932294007,6.558215869709566
4jf2,riboswitch,7.7471,5.704832354322712,7.058472086505353,7.078838764178919
4kqy,riboswitch,7.7212,5.839157761647066,6.577069468625446,6.610616861664589
4oqu,riboswitch,6.3872,6.011433623624687,5.189766273745965,5.260524272225395
4lvz,riboswitch,6.301,5.71343465337815,7.26753135214397,7.356654765186797
4nyg,riboswitch,5.8239,5.67155573995483,4.270319251574083,4.368207337320097
4nyb,riboswitch,3.9872,6.074323635320135,3.775574923320387,3.901592857497372
4lvy,riboswitch,3.9586,5.8190107078001745,4.508447821328927,4.65656644946792
4lvx,riboswitch,4.7447,5.808308993621744,4.340411091343203,4.4643566079475026
4qln,riboswitch,5.5376,6.857891192227493,6.6150936045019755,6.603385910534358
4lx5,riboswitch,6.6716,5.632430434176932,6.457366592753279,6.527627807106091
4nyc,riboswitch,3.5528,5.783196671337212,3.461825262997791,3.635579820685936
4qk8,riboswitch,6.5229,6.722424157979236,6.340313481944085,6.328830710074113
4qk9,riboswitch,6.5229,6.8915603985628895,6.500719739902618,6.47217988528598
4nya,riboswitch,4.3098,5.629999931642659,4.444164774462359,4.5962310016038455
4w90,riboswitch,7.2749,6.650802640620912,6.776670855416017,6.751963901915993
4ts0,aptamer,6.2757,6.2570529388487515,6.2570529388487515,6.27781418203412
4ts2,aptamer,6.2757,6.269158087056283,6.269158087056283,6.291782654364093
4qlm,riboswitch,7.1805,6.76513308726932,6.259483673416231,6.23416460515018
4lvw,riboswitch,4.1805,5.893414001733716,4.215810365570138,4.355412445277877
4nyd,riboswitch,3.1739,6.158577659753546,5.066146364262035,5.193322984593649
