pdb,subtype,y_true,y_pred
1arj,viral_tar,3.0,6.479809453504985
407d,duplex_groove,6.4634,6.331014654519102
408d,duplex_groove,7.3188,6.383275391810376
1qms,other_misc,9.0,6.379733176886915
1byj,ribosomal_asite,5.699,5.389504531941301
1db6,other_misc,4.0,5.477489197893785
1cvy,duplex_groove,6.4202,6.584606616763508
454d,duplex_groove,8.0,7.763905153926884
1cvx,duplex_groove,4.9586,6.398579640744801
1f27,aptamer,6.0,7.404797823587235
1f1t,aptamer,7.3979,6.418059477498727
1qd3,other_misc,5.2291,5.853352258935385
1fyp,ribosomal_asite,5.6021,5.95106702794799
1i9v,ribosomal_asite,3.466,5.113580248690419
1nzm,g_quadruplex,6.4815,6.836607472557947
1p96,duplex_groove,5.5952,5.681488408872178
1qv8,duplex_groove,6.9431,6.652928189333732
1qv4,duplex_groove,6.9066,6.698215861125327
1r4e,duplex_groove,5.2733,5.303708465897022
1q8n,aptamer,6.0969,6.715224220000401
1uts,viral_tar,7.4089,4.822694729428892
1uud,viral_tar,5.8125,5.326191021469029
1yrj,other_misc,6.699,5.125038624242664
2bee,ribosomal_asite,7.0,6.652995405992423
2be0,ribosomal_asite,6.8861,6.69720365799936
1ykv,other_misc,5.0,4.962889422225122
2g5k,ribosomal_asite,6.301,6.21135830348562
2b57,riboswitch,7.7696,5.1519244563742035
2f4s,ribosomal_asite,4.7212,5.159940203086607
2f4t,ribosomal_asite,5.6576,5.227068696109856
2g9c,other_misc,5.699,4.943321410391256
2f4u,ribosomal_asite,5.2291,5.187942513548118
2au4,aptamer,7.1249,6.503922280501437
2o3w,ribosomal_asite,5.585,5.015968130885215
2o3x,ribosomal_asite,4.301,4.879174621915064
3e5c,riboswitch,9.2441,6.332662778162392
3fo4,riboswitch,6.1427,5.369072288097835
3ger,riboswitch,6.0506,5.628059556938113
2kgp,riboswitch,6.0,5.599127446066236
3fu2,riboswitch,7.699,6.58187619689469
3ges,riboswitch,4.699,5.218139677329415
3fo6,riboswitch,4.6383,5.172503488377977
3gog,riboswitch,4.6198,6.336296066564202
2kdq,viral_tar,7.5229,5.24050356641037
3ds7,other_misc,4.4089,5.863935520019201
3gao,riboswitch,4.4089,5.565450132636249
3g4m,riboswitch,5.3565,6.009995365066493
3got,riboswitch,5.3979,6.040974343350399
3jq4,other_misc,5.0,5.973563962329166
3mum,riboswitch,9.6778,9.0941967988555
3mxh,riboswitch,10.9586,8.138642492367463
3mur,riboswitch,7.8239,10.436646122919727
3la5,riboswitch,6.0,6.035017298119877
2ku0,other_misc,5.585,4.960286733457674
3owz,riboswitch,5.4559,4.204494764052319
3npn,riboswitch,7.4949,6.396362916192997
2kx8,other_misc,5.2,5.358061513097416
2ktz,other_misc,5.0458,4.885011071419603
2ygh,riboswitch,6.5086,6.007821844397269
2ydh,riboswitch,5.71,6.602419254485275
2xo1,aptamer,4.0,4.172393271210044
2xnz,aptamer,3.9586,3.8695047356361596
3sd3,riboswitch,4.7447,5.164657496996284
3q50,riboswitch,8.6882,6.753417089114162
3q3z,riboswitch,8.6576,6.883880578756446
2l94,other_misc,3.4437,5.733347021947335
2xnw,aptamer,3.4318,3.297293929657611
3slm,other_misc,3.4214,5.157656606657443
2xo0,aptamer,4.0969,4.223762785102318
3s4p,other_misc,6.0,6.127327760617234
4aob,riboswitch,6.3098,6.030769159394896
4fe5,riboswitch,6.1355,6.8225345817643035
