pdb,subtype,y_true,y_pred
1arj,viral_tar,3.0,5.340012550354004
407d,duplex_groove,6.4634,5.834011554718018
408d,duplex_groove,7.3188,5.992774486541748
1qms,other_misc,9.0,9.0
1byj,ribosomal_asite,5.699,5.687010765075684
1db6,other_misc,4.0,5.017354965209961
1cvy,duplex_groove,6.4202,5.979745388031006
454d,duplex_groove,8.0,6.344334125518799
1cvx,duplex_groove,4.9586,5.728997230529785
1f27,aptamer,6.0,7.403024196624756
1f1t,aptamer,7.3979,6.523905277252197
1qd3,other_misc,5.2291,5.465610980987549
1fyp,ribosomal_asite,5.6021,6.03529691696167
1i9v,ribosomal_asite,3.466,5.126227855682373
1nzm,g_quadruplex,6.4815,6.369082450866699
1p96,duplex_groove,5.5952,5.184572696685791
1qv8,duplex_groove,6.9431,6.308732986450195
1qv4,duplex_groove,6.9066,6.12560510635376
1r4e,duplex_groove,5.2733,5.476555347442627
1q8n,aptamer,6.0969,6.709131240844727
1uts,viral_tar,7.4089,5.484776020050049
1uud,viral_tar,5.8125,5.36197566986084
1yrj,other_misc,6.699,5.465610980987549
2bee,ribosomal_asite,7.0,6.010862350463867
2be0,ribosomal_asite,6.8861,5.984156608581543
1ykv,other_misc,5.0,5.465610980987549
2g5k,ribosomal_asite,6.301,5.72490119934082
2b57,riboswitch,7.7696,4.894743772818029
2f4s,ribosomal_asite,4.7212,5.435356140136719
2f4t,ribosomal_asite,5.6576,5.734951496124268
2g9c,other_misc,5.699,5.465610980987549
2f4u,ribosomal_asite,5.2291,5.676408767700195
2au4,aptamer,7.1249,6.511972427368164
2o3w,ribosomal_asite,5.585,5.5347900390625
2o3x,ribosomal_asite,4.301,5.599485874176025
3e5c,riboswitch,9.2441,6.231178458950038
3fo4,riboswitch,6.1427,5.43377265836562
3ger,riboswitch,6.0506,5.499853898711952
2kgp,riboswitch,6.0,5.9121095324428055
3fu2,riboswitch,7.699,7.009969509456056
3ges,riboswitch,4.699,5.455236494086244
3fo6,riboswitch,4.6383,4.941001031228817
3gog,riboswitch,4.6198,6.058388654218094
2kdq,viral_tar,7.5229,7.411403656005859
3ds7,other_misc,4.4089,5.465610980987549
3gao,riboswitch,4.4089,5.3917435707410295
3g4m,riboswitch,5.3565,5.777561445197007
3got,riboswitch,5.3979,5.587811938862942
3jq4,other_misc,5.0,5.465610980987549
3mum,riboswitch,9.6778,8.919334775121115
3mxh,riboswitch,10.9586,8.344656330701607
3mur,riboswitch,7.8239,9.861198550910434
3la5,riboswitch,6.0,5.956322106975234
2ku0,other_misc,5.585,5.465610980987549
3owz,riboswitch,5.4559,4.498873281583983
3npn,riboswitch,7.4949,6.333827320288262
2kx8,other_misc,5.2,5.465610980987549
2ktz,other_misc,5.0458,5.465610980987549
2ygh,riboswitch,6.5086,5.9747488809836184
2ydh,riboswitch,5.71,6.588677920721804
2xo1,aptamer,4.0,4.167821407318115
2xnz,aptamer,3.9586,3.867035627365112
3sd3,riboswitch,4.7447,4.814939977889042
3q50,riboswitch,8.6882,6.936665198126557
3q3z,riboswitch,8.6576,6.625480110287177
2l94,other_misc,3.4437,5.465610980987549
2xnw,aptamer,3.4318,3.331595659255981
3slm,other_misc,3.4214,5.465610980987549
2xo0,aptamer,4.0969,4.222468852996826
3s4p,other_misc,6.0,5.465610980987549
4aob,riboswitch,6.3098,6.139313576333735
4fe5,riboswitch,6.1355,6.832973471676744
2loa,g_quadruplex,5.6576,5.09135627746582
4erj,riboswitch,2.5086,3.908962225708338
2lwk,other_misc,4.2967,5.465610980987549
4erl,riboswitch,3.2441,3.8471937667972504
2mb3,other_misc,5.1308,5.016073703765869
2rsk,other_misc,5.0,5.465610980987549
4jf2,riboswitch,7.7471,6.832316456968533
4kqy,riboswitch,7.7212,6.563847264924746
4oqu,riboswitch,6.3872,5.269005461453993
4lvz,riboswitch,6.301,6.856157932243591
4nyg,riboswitch,5.8239,4.589752389352991
4nyb,riboswitch,3.9872,4.19953692526874
4lvy,riboswitch,3.9586,4.959115731932618
4lvx,riboswitch,4.7447,4.454246693872193
4qln,riboswitch,5.5376,6.717330828993552
4lx5,riboswitch,6.6716,6.411766350996683
4nyc,riboswitch,3.5528,4.140412723895676
4qk8,riboswitch,6.5229,6.476489413703472
4qk9,riboswitch,6.5229,6.7183894190029365
4nya,riboswitch,4.3098,3.9133479176918495
4w90,riboswitch,7.2749,6.763067826279015
4ts0,aptamer,6.2757,6.2596211433410645
4ts2,aptamer,6.2757,6.267354965209961
4qlm,riboswitch,7.1805,6.183030846535192
4lvw,riboswitch,4.1805,4.429056470265389
4nyd,riboswitch,3.1739,4.984546242417148
4l81,riboswitch,5.1367,6.540447952262225
4lw0,riboswitch,5.0969,4.4869520102785225
4lvv,riboswitch,5.0177,4.6026151072260815
4lx6,riboswitch,7.0223,6.213163416813111
2mg8,g_quadruplex,6.0155,6.372193813323975
4yb0,riboswitch,6.0315,7.250377591058566
4xwf,g_quadruplex,5.9666,5.382163047790527
4znp,g_quadruplex,5.3279,5.998818397521973
5c7u,riboswitch,7.3768,5.8267571828589615
5btp,g_quadruplex,6.3125,6.141241073608398
5c7w,riboswitch,7.3188,6.435578468506196
2mxs,ribosomal_asite,5.2924,5.863815784454346
4rzd,riboswitch,8.1871,6.768158220977358
4yaz,riboswitch,7.1759,6.361543126292525
2n0j,ribosomal_asite,6.4815,5.614933490753174
5cdb,g_quadruplex,5.9586,5.653140068054199
5lwj,other_misc,5.5432,5.465610980987549
5uzz,other_misc,6.699,5.465610980987549
5kpy,aptamer,5.4089,6.061594486236572
5uee,other_misc,3.699,4.607296466827393
5v3f,aptamer,8.5229,8.63102912902832
5z80,other_misc,5.9136,5.143898010253906
6d2u,other_misc,9.7447,5.465610980987549
6dmc,riboswitch,6.2924,5.863360615915638
6c65,aptamer,9.0458,8.672234535217285
6c63,aptamer,8.9586,9.123218536376951
6c64,aptamer,8.8539,7.110732555389404
6ck4,riboswitch,5.7447,6.323672140424827
5w77,other_misc,4.7825,5.068197250366211
6ck5,riboswitch,5.699,4.51482336617652
6fz0,riboswitch,5.3595,7.261382687344874
6dlt,riboswitch,4.2277,5.544850743822425
6e84,aptamer,5.8539,6.123398780822754
6j2w,other_misc,5.8539,4.626264572143555
6e8t,aptamer,8.7696,8.173084259033203
6qn3,riboswitch,3.7212,5.019401675442441
