pdb,subtype,y_true,y_pred
1arj,viral_tar,3.0,5.340012550354004
407d,duplex_groove,6.4634,5.834011554718018
408d,duplex_groove,7.3188,5.992774486541748
1qms,other_misc,9.0,6.9493513107299805
1byj,ribosomal_asite,5.699,5.687010765075684
1db6,other_misc,4.0,5.544767379760742
1cvy,duplex_groove,6.4202,5.979745388031006
454d,duplex_groove,8.0,6.344334125518799
1cvx,duplex_groove,4.9586,5.728997230529785
1f27,aptamer,6.0,7.403024196624756
1f1t,aptamer,7.3979,6.523905277252197
1qd3,other_misc,5.2291,5.635388374328613
1fyp,ribosomal_asite,5.6021,6.03529691696167
1i9v,ribosomal_asite,3.466,5.126227855682373
1nzm,g_quadruplex,6.4815,6.369082450866699
1p96,duplex_groove,5.5952,5.184572696685791
1qv8,duplex_groove,6.9431,6.308732986450195
1qv4,duplex_groove,6.9066,6.12560510635376
1r4e,duplex_groove,5.2733,5.476555347442627
1q8n,aptamer,6.0969,6.709131240844727
1uts,viral_tar,7.4089,5.484776020050049
1uud,viral_tar,5.8125,5.36197566986084
1yrj,other_misc,6.699,5.66792631149292
2bee,ribosomal_asite,7.0,6.010862350463867
2be0,ribosomal_asite,6.8861,5.984156608581543
1ykv,other_misc,5.0,5.976445198059082
2g5k,ribosomal_asite,6.301,5.72490119934082
2b57,riboswitch,7.7696,5.5782999992370605
2f4s,ribosomal_asite,4.7212,5.435356140136719
2f4t,ribosomal_asite,5.6576,5.734951496124268
2g9c,other_misc,5.699,5.329819679260254
2f4u,ribosomal_asite,5.2291,5.676408767700195
2au4,aptamer,7.1249,6.511972427368164
2o3w,ribosomal_asite,5.585,5.5347900390625
2o3x,ribosomal_asite,4.301,5.599485874176025
3e5c,riboswitch,9.2441,6.713926792144775
3fo4,riboswitch,6.1427,5.992903232574463
3ger,riboswitch,6.0506,5.433553695678711
2kgp,riboswitch,6.0,5.995847225189209
3fu2,riboswitch,7.699,5.867667198181152
3ges,riboswitch,4.699,5.822208881378174
3fo6,riboswitch,4.6383,5.513807773590088
3gog,riboswitch,4.6198,6.0728254318237305
2kdq,viral_tar,7.5229,7.411403656005859
3ds7,other_misc,4.4089,6.097005844116211
3gao,riboswitch,4.4089,5.647795677185059
3g4m,riboswitch,5.3565,5.549896717071533
3got,riboswitch,5.3979,5.34987735748291
3jq4,other_misc,5.0,5.803807735443115
3mum,riboswitch,9.6778,7.137957572937012
3mxh,riboswitch,10.9586,7.118512153625488
3mur,riboswitch,7.8239,7.106809616088867
3la5,riboswitch,6.0,5.232141971588135
2ku0,other_misc,5.585,5.8526835441589355
3owz,riboswitch,5.4559,4.869567394256592
3npn,riboswitch,7.4949,6.665628433227539
2kx8,other_misc,5.2,5.278960227966309
2ktz,other_misc,5.0458,6.015751361846924
2ygh,riboswitch,6.5086,6.493629455566406
2ydh,riboswitch,5.71,6.750297546386719
2xo1,aptamer,4.0,4.167821407318115
2xnz,aptamer,3.9586,3.8670356273651123
3sd3,riboswitch,4.7447,5.722548961639404
3q50,riboswitch,8.6882,5.746638298034668
3q3z,riboswitch,8.6576,6.968271732330322
2l94,other_misc,3.4437,5.510323524475098
2xnw,aptamer,3.4318,3.3315956592559814
3slm,other_misc,3.4214,6.424370765686035
2xo0,aptamer,4.0969,4.222468852996826
3s4p,other_misc,6.0,6.169226169586182
4aob,riboswitch,6.3098,6.401576042175293
4fe5,riboswitch,6.1355,5.451396942138672
2loa,g_quadruplex,5.6576,5.09135627746582
4erj,riboswitch,2.5086,5.272769451141357
2lwk,other_misc,4.2967,5.205312252044678
4erl,riboswitch,3.2441,5.750350475311279
2mb3,other_misc,5.1308,6.147456645965576
2rsk,other_misc,5.0,6.62946891784668
4jf2,riboswitch,7.7471,5.663591384887695
4kqy,riboswitch,7.7212,6.451015949249268
4oqu,riboswitch,6.3872,6.469000339508057
4lvz,riboswitch,6.301,5.4246673583984375
4nyg,riboswitch,5.8239,6.163257598876953
4nyb,riboswitch,3.9872,6.628963947296143
4lvy,riboswitch,3.9586,5.739415645599365
4lvx,riboswitch,4.7447,5.601927757263184
4qln,riboswitch,5.5376,6.760060787200928
4lx5,riboswitch,6.6716,5.346138954162598
4nyc,riboswitch,3.5528,6.258848190307617
4qk8,riboswitch,6.5229,6.57204008102417
4qk9,riboswitch,6.5229,6.5692667961120605
4nya,riboswitch,4.3098,5.512887001037598
4w90,riboswitch,7.2749,6.644158840179443
4ts0,aptamer,6.2757,6.2596211433410645
4ts2,aptamer,6.2757,6.267354965209961
4qlm,riboswitch,7.1805,6.762171745300293
4lvw,riboswitch,4.1805,5.868167877197266
4nyd,riboswitch,3.1739,5.678905963897705
4l81,riboswitch,5.1367,6.568655490875244
4lw0,riboswitch,5.0969,5.311980247497559
4lvv,riboswitch,5.0177,5.676915645599365
4lx6,riboswitch,7.0223,5.595923900604248
2mg8,g_quadruplex,6.0155,6.372193813323975
4yb0,riboswitch,6.0315,7.20953893661499
4xwf,g_quadruplex,5.9666,5.382163047790527
4znp,g_quadruplex,5.3279,5.998818397521973
5c7u,riboswitch,7.3768,5.37113094329834
5btp,g_quadruplex,6.3125,6.141241073608398
5c7w,riboswitch,7.3188,5.361804962158203
2mxs,ribosomal_asite,5.2924,5.863815784454346
4rzd,riboswitch,8.1871,5.570803165435791
4yaz,riboswitch,7.1759,7.3858256340026855
2n0j,ribosomal_asite,6.4815,5.614933490753174
5cdb,g_quadruplex,5.9586,5.653140068054199
5lwj,other_misc,5.5432,5.997793674468994
5uzz,other_misc,6.699,6.345890522003174
5kpy,aptamer,5.4089,6.061594486236572
5uee,other_misc,3.699,5.995673656463623
5v3f,aptamer,8.5229,8.63102912902832
5z80,other_misc,5.9136,5.969972133636475
6d2u,other_misc,9.7447,6.50337553024292
6dmc,riboswitch,6.2924,6.650332450866699
6c65,aptamer,9.0458,8.672234535217285
6c63,aptamer,8.9586,9.123218536376953
6c64,aptamer,8.8539,7.110732555389404
6ck4,riboswitch,5.7447,6.022671699523926
5w77,other_misc,4.7825,5.438558101654053
6ck5,riboswitch,5.699,5.063108444213867
6fz0,riboswitch,5.3595,7.272631645202637
6dlt,riboswitch,4.2277,5.93446159362793
6e84,aptamer,5.8539,6.123398780822754
6j2w,other_misc,5.8539,5.586822032928467
6e8t,aptamer,8.7696,8.173084259033203
6qn3,riboswitch,3.7212,5.272337913513184
