pdb,subtype,y_true,y_pred,rs_subclass
1arj,viral_tar,3.0,5.340012550354004,other_lig
407d,duplex_groove,6.4634,5.834011554718018,other_lig
408d,duplex_groove,7.3188,5.992774486541748,other_lig
1qms,other_misc,9.0,8.58684052957982,other_lig
1byj,ribosomal_asite,5.699,5.687010765075684,other_lig
1db6,other_misc,4.0,5.132728845525662,other_lig
1cvy,duplex_groove,6.4202,5.979745388031006,other_lig
454d,duplex_groove,8.0,6.344334125518799,other_lig
1cvx,duplex_groove,4.9586,5.728997230529785,other_lig
1f27,aptamer,6.0,7.403024196624755,other_lig
1f1t,aptamer,7.3979,6.523905277252197,other_lig
1qd3,other_misc,5.2291,6.2200526653399155,other_lig
1fyp,ribosomal_asite,5.6021,6.03529691696167,other_lig
1i9v,ribosomal_asite,3.466,5.126227855682374,other_lig
1nzm,g_quadruplex,6.4815,6.267269093902245,other_lig
1p96,duplex_groove,5.5952,5.184572696685791,other_lig
1qv8,duplex_groove,6.9431,6.308732986450195,other_lig
1qv4,duplex_groove,6.9066,6.12560510635376,other_lig
1r4e,duplex_groove,5.2733,5.476555347442627,other_lig
1q8n,aptamer,6.0969,6.709131240844727,other_lig
1uts,viral_tar,7.4089,5.48477602005005,other_lig
1uud,viral_tar,5.8125,5.36197566986084,other_lig
1yrj,other_misc,6.699,5.264642736424076,other_lig
2bee,ribosomal_asite,7.0,6.010862350463868,other_lig
2be0,ribosomal_asite,6.8861,5.984156608581543,other_lig
1ykv,other_misc,5.0,4.974771784648159,other_lig
2g5k,ribosomal_asite,6.301,5.72490119934082,other_lig
2b57,riboswitch,7.7696,5.340464581301454,purine
2f4s,ribosomal_asite,4.7212,5.435356140136719,other_lig
2f4t,ribosomal_asite,5.6576,5.734951496124268,other_lig
2g9c,other_misc,5.699,5.813644223764866,other_lig
2f4u,ribosomal_asite,5.2291,5.676408767700195,other_lig
2au4,aptamer,7.1249,6.511972427368164,other_lig
2o3w,ribosomal_asite,5.585,5.5347900390625,other_lig
2o3x,ribosomal_asite,4.301,5.599485874176025,other_lig
3e5c,riboswitch,9.2441,8.54561581260781,SAM_SAH
3fo4,riboswitch,6.1427,5.59959333120526,purine
3ger,riboswitch,6.0506,5.624932735136614,purine
2kgp,riboswitch,6.0,5.8566108580626475,purine
3fu2,riboswitch,7.699,7.054445334905177,FMN_FAD
3ges,riboswitch,4.699,5.481962748657313,purine
3fo6,riboswitch,4.6383,5.3347206033647385,purine
3gog,riboswitch,4.6198,5.878170632311699,purine
2kdq,viral_tar,7.5229,7.411403656005859,other_lig
3ds7,other_misc,4.4089,5.526538833719366,other_lig
3gao,riboswitch,4.4089,4.4297796852821705,purine
3g4m,riboswitch,5.3565,5.749808268306224,purine
3got,riboswitch,5.3979,5.690404353235155,purine
3jq4,other_misc,5.0,5.728771088036437,other_lig
3mum,riboswitch,9.6778,9.267944064486096,TPP
3mxh,riboswitch,10.9586,8.305199634229535,TPP
3mur,riboswitch,7.8239,8.975404047889064,TPP
3la5,riboswitch,6.0,6.4416805634917225,other_lig
2ku0,other_misc,5.585,4.99590539147916,other_lig
3owz,riboswitch,5.4559,4.676315220285765,other_lig
3npn,riboswitch,7.4949,5.481419270162803,SAM_SAH
2kx8,other_misc,5.2,4.795473357611522,other_lig
2ktz,other_misc,5.0458,5.501592350285767,other_lig
2ygh,riboswitch,6.5086,5.567849338906736,SAM_SAH
2ydh,riboswitch,5.71,5.818667617647307,SAM_SAH
2xo1,aptamer,4.0,4.167821407318115,other_lig
2xnz,aptamer,3.9586,3.8670356273651114,other_lig
3sd3,riboswitch,4.7447,4.935948863099142,FMN_FAD
3q50,riboswitch,8.6882,6.954000607821039,FMN_FAD
3q3z,riboswitch,8.6576,7.34219680357879,TPP
2l94,other_misc,3.4437,5.465789057017596,other_lig
2xnw,aptamer,3.4318,3.3315956592559806,other_lig
3slm,other_misc,3.4214,5.456696367153298,other_lig
2xo0,aptamer,4.0969,4.222468852996826,other_lig
3s4p,other_misc,6.0,5.550110630304499,other_lig
4aob,riboswitch,6.3098,6.999825117937336,SAM_SAH
4fe5,riboswitch,6.1355,6.497989452509633,other_lig
2loa,g_quadruplex,5.6576,5.202688791954478,other_lig
4erj,riboswitch,2.5086,3.1025461714526887,other_lig
2lwk,other_misc,4.2967,4.900525231322602,other_lig
4erl,riboswitch,3.2441,3.5329369805002018,other_lig
2mb3,other_misc,5.1308,5.788349429728302,other_lig
2rsk,other_misc,5.0,5.232923083042781,other_lig
4jf2,riboswitch,7.7471,6.899424666205839,FMN_FAD
4kqy,riboswitch,7.7212,6.957703103347197,SAM_SAH
4oqu,riboswitch,6.3872,5.759297746906072,SAM_SAH
4lvz,riboswitch,6.301,6.016829784663994,purine
4nyg,riboswitch,5.8239,5.3010182694287105,TPP
4nyb,riboswitch,3.9872,3.7130180277686815,other_lig
4lvy,riboswitch,3.9586,4.983514915199573,FMN_FAD
4lvx,riboswitch,4.7447,4.581673068879476,FMN_FAD
4qln,riboswitch,5.5376,6.137886512436614,purine
4lx5,riboswitch,6.6716,5.861320494705883,purine
4nyc,riboswitch,3.5528,3.959752038026208,other_lig
4qk8,riboswitch,6.5229,6.973066009308465,purine
4qk9,riboswitch,6.5229,6.387542683440738,purine
4nya,riboswitch,4.3098,5.253221461173499,purine
4w90,riboswitch,7.2749,7.096825754446356,purine
4ts0,aptamer,6.2757,6.259621143341064,other_lig
4ts2,aptamer,6.2757,6.267354965209961,other_lig
4qlm,riboswitch,7.1805,6.654242858296531,purine
4lvw,riboswitch,4.1805,4.683204587608059,purine
4nyd,riboswitch,3.1739,3.3854788684683954,other_lig
4l81,riboswitch,5.1367,6.1544486683232265,SAM_SAH
4lw0,riboswitch,5.0969,5.378170507634847,purine
4lvv,riboswitch,5.0177,4.643919383769149,FMN_FAD
4lx6,riboswitch,7.0223,5.893781176405088,purine
2mg8,g_quadruplex,6.0155,6.330187777944505,other_lig
4yb0,riboswitch,6.0315,7.930044507209347,TPP
4xwf,g_quadruplex,5.9666,5.394450398308928,other_lig
4znp,g_quadruplex,5.3279,6.041070618628633,other_lig
5c7u,riboswitch,7.3768,6.776223462144708,other_lig
5btp,g_quadruplex,6.3125,6.06809391049707,other_lig
5c7w,riboswitch,7.3188,6.881778642854578,other_lig
2mxs,ribosomal_asite,5.2924,5.863815784454346,other_lig
4rzd,riboswitch,8.1871,6.843791978068757,FMN_FAD
4yaz,riboswitch,7.1759,7.846457851324807,other_lig
2n0j,ribosomal_asite,6.4815,5.614933490753175,other_lig
5cdb,g_quadruplex,5.9586,5.683912351182252,other_lig
5lwj,other_misc,5.5432,5.653467321473453,other_lig
5uzz,other_misc,6.699,5.660677262622014,other_lig
5kpy,aptamer,5.4089,6.061594486236572,other_lig
5uee,other_misc,3.699,4.987450396068739,other_lig
5v3f,aptamer,8.5229,8.63102912902832,other_lig
5z80,other_misc,5.9136,5.021471714393894,other_lig
6d2u,other_misc,9.7447,7.993446146976764,other_lig
6dmc,riboswitch,6.2924,5.869909371010957,TPP
6c65,aptamer,9.0458,8.672234535217285,other_lig
6c63,aptamer,8.9586,9.123218536376951,other_lig
6c64,aptamer,8.8539,7.110732555389403,other_lig
6ck4,riboswitch,5.7447,5.866182813963371,TPP
5w77,other_misc,4.7825,4.824983187443186,other_lig
6ck5,riboswitch,5.699,5.112644320904602,TPP
6fz0,riboswitch,5.3595,6.48810563644461,SAM_SAH
6dlt,riboswitch,4.2277,5.745777830858063,TPP
6e84,aptamer,5.8539,6.123398780822754,other_lig
6j2w,other_misc,5.8539,4.79403758477865,other_lig
6e8t,aptamer,8.7696,8.173084259033203,other_lig
6qn3,riboswitch,3.7212,3.903072941760018,other_lig
6e8s,aptamer,8.6383,9.07891845703125,other_lig
6hmo,other_misc,4.5528,4.948279257373481,other_lig
6hag,riboswitch,5.4318,6.322956483721045,SAM_SAH
6p2h,other_misc,7.4685,5.40831224524512,other_lig
6jj0,g_quadruplex,7.4437,5.904350131351462,other_lig
6e81,aptamer,5.5229,6.162921905517577,other_lig
6e8u,aptamer,8.3372,8.383036613464355,other_lig
6hbt,duplex_groove,5.3279,5.018413066864014,other_lig
6sx3,other_misc,5.1549,5.110302070895082,other_lig
